Date,State,Disease,Disease_Count,Year,Month,Season
2020-10-02,Andhra Pradesh,Headache,29,2020,10,Autumn
2022-07-25,Karnataka,Cold,12,2022,7,Summer
2024-04-24,Delhi,Cough,22,2024,4,Spring
2021-01-12,Karnataka,Malaria,14,2021,1,Winter
2017-04-19,Andhra Pradesh,Skin Rash,12,2017,4,Spring
2016-04-14,Karnataka,Malaria,8,2016,4,Spring
2024-07-10,Karnataka,Cough,10,2024,7,Summer
2020-07-03,Telangana,Malaria,10,2020,7,Summer
2018-01-23,Andhra Pradesh,Diarrhea,15,2018,1,Winter
2023-01-25,Telangana,Allergy,23,2023,1,Winter
2024-07-13,Karnataka,Cold,8,2024,7,Summer
2024-10-14,Karnataka,Cold,12,2024,10,Autumn
2024-07-25,Telangana,Skin Rash,13,2024,7,Summer
2018-07-22,Delhi,Cough,21,2018,7,Summer
2019-10-06,Karnataka,Skin Rash,20,2019,10,Autumn
2020-04-26,Andhra Pradesh,Skin Rash,20,2020,4,Spring
2018-10-14,Telangana,Fever,18,2018,10,Autumn
2023-07-07,Karnataka,Fever,25,2023,7,Summer
2017-01-26,Andhra Pradesh,Fever,21,2017,1,Winter
2020-07-17,Andhra Pradesh,Dengue,31,2020,7,Summer
2017-04-08,Andhra Pradesh,Diarrhea,13,2017,4,Spring
2022-01-25,Delhi,Cough,28,2022,1,Winter
2018-07-03,Delhi,Allergy,22,2018,7,Summer
2017-10-03,Delhi,Malaria,10,2017,10,Autumn
2019-01-05,Andhra Pradesh,Headache,35,2019,1,Winter
2020-04-14,Karnataka,Dengue,5,2020,4,Spring
2022-10-03,Andhra Pradesh,Headache,29,2022,10,Autumn
2022-01-16,Delhi,Eye Infection,31,2022,1,Winter
2022-10-05,Delhi,Eye Infection,27,2022,10,Autumn
2017-01-23,Andhra Pradesh,Fever,17,2017,1,Winter
2023-04-14,Delhi,Skin Rash,15,2023,4,Spring
2022-10-13,Andhra Pradesh,Cough,26,2022,10,Autumn
2020-04-27,Andhra Pradesh,Allergy,28,2020,4,Spring
2017-04-09,Karnataka,Eye Infection,10,2017,4,Spring
2023-04-16,Karnataka,Dengue,1,2023,4,Spring
2021-04-06,Karnataka,Diarrhea,3,2021,4,Spring
2020-04-19,Delhi,Skin Rash,20,2020,4,Spring
2023-10-22,Delhi,Dengue,19,2023,10,Autumn
2023-07-27,Andhra Pradesh,Headache,30,2023,7,Summer
2018-07-27,Andhra Pradesh,Headache,30,2018,7,Summer
2017-04-10,Andhra Pradesh,Skin Rash,16,2017,4,Spring
2020-01-06,Telangana,Eye Infection,23,2020,1,Winter
2017-07-23,Andhra Pradesh,Skin Rash,24,2017,7,Summer
2023-10-17,Telangana,Cough,5,2023,10,Autumn
2020-01-12,Telangana,Eye Infection,11,2020,1,Winter
2023-04-05,Karnataka,Diarrhea,3,2023,4,Spring
2019-07-06,Telangana,Skin Rash,21,2019,7,Summer
2018-04-04,Telangana,Malaria,7,2018,4,Spring
2023-01-05,Karnataka,Dengue,11,2023,1,Winter
2016-07-05,Andhra Pradesh,Skin Rash,21,2016,7,Summer
2024-10-23,Telangana,Headache,22,2024,10,Autumn
2022-04-23,Telangana,Diarrhea,7,2022,4,Spring
2017-10-11,Andhra Pradesh,Eye Infection,16,2017,10,Autumn
2023-10-05,Telangana,Cough,6,2023,10,Autumn
2016-07-01,Andhra Pradesh,Cold,19,2016,7,Summer
2019-04-18,Andhra Pradesh,Cough,25,2019,4,Spring
2020-01-03,Telangana,Cough,11,2020,1,Winter
2020-07-03,Andhra Pradesh,Allergy,29,2020,7,Summer
2023-07-21,Delhi,Allergy,24,2023,7,Summer
2022-10-27,Andhra Pradesh,Fever,23,2022,10,Autumn
2024-10-11,Andhra Pradesh,Dengue,23,2024,10,Autumn
2022-04-28,Delhi,Dengue,12,2022,4,Spring
2023-04-04,Telangana,Dengue,18,2023,4,Spring
2016-04-09,Telangana,Fever,9,2016,4,Spring
2017-10-09,Telangana,Headache,21,2017,10,Autumn
2021-10-14,Andhra Pradesh,Malaria,22,2021,10,Autumn
2016-10-19,Delhi,Skin Rash,17,2016,10,Autumn
2024-10-27,Andhra Pradesh,Diarrhea,13,2024,10,Autumn
2018-07-04,Karnataka,Skin Rash,16,2018,7,Summer
2023-07-03,Andhra Pradesh,Eye Infection,18,2023,7,Summer
2021-01-19,Telangana,Skin Rash,19,2021,1,Winter
2020-07-08,Andhra Pradesh,Cough,31,2020,7,Summer
2024-10-28,Telangana,Headache,24,2024,10,Autumn
2022-01-14,Telangana,Cold,38,2022,1,Winter
2019-04-12,Andhra Pradesh,Malaria,19,2019,4,Spring
2024-04-01,Karnataka,Skin Rash,16,2024,4,Spring
2019-04-25,Karnataka,Eye Infection,8,2019,4,Spring
2022-04-26,Delhi,Allergy,22,2022,4,Spring
2021-07-12,Delhi,Skin Rash,17,2021,7,Summer
2016-10-02,Telangana,Eye Infection,16,2016,10,Autumn
2016-01-09,Delhi,Skin Rash,21,2016,1,Winter
2018-01-04,Karnataka,Cough,14,2018,1,Winter
2022-07-19,Andhra Pradesh,Fever,24,2022,7,Summer
2016-04-10,Karnataka,Headache,7,2016,4,Spring
2022-07-27,Delhi,Malaria,8,2022,7,Summer
2024-04-28,Andhra Pradesh,Diarrhea,9,2024,4,Spring
2024-04-04,Karnataka,Headache,2,2024,4,Spring
2024-04-08,Telangana,Fever,20,2024,4,Spring
2024-01-17,Karnataka,Cough,14,2024,1,Winter
2022-10-10,Karnataka,Cough,10,2022,10,Autumn
2018-10-28,Telangana,Dengue,22,2018,10,Autumn
2021-04-23,Karnataka,Headache,3,2021,4,Spring
2020-04-06,Andhra Pradesh,Diarrhea,7,2020,4,Spring
2019-10-26,Telangana,Headache,18,2019,10,Autumn
2016-04-25,Telangana,Cough,11,2016,4,Spring
2022-01-21,Delhi,Diarrhea,21,2022,1,Winter
2020-01-02,Delhi,Skin Rash,22,2020,1,Winter
2021-04-11,Karnataka,Eye Infection,13,2021,4,Spring
2020-10-20,Delhi,Eye Infection,19,2020,10,Autumn
2022-04-14,Karnataka,Dengue,6,2022,4,Spring
2019-01-04,Karnataka,Dengue,9,2019,1,Winter
2023-10-18,Andhra Pradesh,Cold,14,2023,10,Autumn
2020-04-08,Andhra Pradesh,Malaria,16,2020,4,Spring
2022-04-22,Delhi,Headache,14,2022,4,Spring
2021-01-24,Andhra Pradesh,Dengue,29,2021,1,Winter
2018-04-04,Delhi,Cough,23,2018,4,Spring
2019-01-25,Telangana,Fever,19,2019,1,Winter
2016-01-09,Karnataka,Eye Infection,11,2016,1,Winter
2021-07-15,Delhi,Malaria,12,2021,7,Summer
2020-01-17,Delhi,Eye Infection,27,2020,1,Winter
2016-07-22,Delhi,Cough,24,2016,7,Summer
2020-04-25,Telangana,Dengue,21,2020,4,Spring
2016-10-06,Karnataka,Cough,13,2016,10,Autumn
2018-07-08,Karnataka,Allergy,28,2018,7,Summer
2023-10-02,Telangana,Eye Infection,15,2023,10,Autumn
2017-07-12,Telangana,Fever,25,2017,7,Summer
2017-04-25,Delhi,Allergy,17,2017,4,Spring
2019-01-08,Karnataka,Headache,17,2019,1,Winter
2020-10-27,Delhi,Skin Rash,18,2020,10,Autumn
2018-07-08,Telangana,Allergy,21,2018,7,Summer
2024-07-23,Andhra Pradesh,Skin Rash,26,2024,7,Summer
2020-01-17,Delhi,Dengue,17,2020,1,Winter
2016-10-06,Andhra Pradesh,Diarrhea,6,2016,10,Autumn
2023-04-25,Karnataka,Eye Infection,10,2023,4,Spring
2021-07-04,Karnataka,Cold,10,2021,7,Summer
2024-10-12,Telangana,Fever,21,2024,10,Autumn
2022-10-03,Delhi,Fever,23,2022,10,Autumn
2016-07-25,Karnataka,Malaria,14,2016,7,Summer
2016-10-25,Andhra Pradesh,Cough,29,2016,10,Autumn
2016-10-04,Karnataka,Diarrhea,6,2016,10,Autumn
2017-01-13,Telangana,Dengue,30,2017,1,Winter
2019-10-18,Karnataka,Eye Infection,8,2019,10,Autumn
2018-07-21,Delhi,Allergy,24,2018,7,Summer
2022-01-05,Andhra Pradesh,Diarrhea,10,2022,1,Winter
2024-10-05,Telangana,Headache,22,2024,10,Autumn
2024-04-13,Andhra Pradesh,Headache,24,2024,4,Spring
2024-01-22,Telangana,Skin Rash,18,2024,1,Winter
2017-01-26,Delhi,Fever,21,2017,1,Winter
2017-07-05,Karnataka,Dengue,7,2017,7,Summer
2017-04-02,Telangana,Cold,28,2017,4,Spring
2016-10-21,Andhra Pradesh,Eye Infection,24,2016,10,Autumn
2023-04-09,Delhi,Malaria,11,2023,4,Spring
2016-01-08,Karnataka,Diarrhea,2,2016,1,Winter
2022-01-01,Delhi,Dengue,28,2022,1,Winter
2023-10-03,Karnataka,Allergy,20,2023,10,Autumn
2023-04-27,Karnataka,Fever,18,2023,4,Spring
2022-07-10,Telangana,Headache,16,2022,7,Summer
2017-07-10,Telangana,Fever,17,2017,7,Summer
2020-01-03,Andhra Pradesh,Headache,31,2020,1,Winter
2022-01-10,Karnataka,Eye Infection,15,2022,1,Winter
2024-04-11,Telangana,Headache,19,2024,4,Spring
2017-10-19,Andhra Pradesh,Diarrhea,6,2017,10,Autumn
2018-07-02,Karnataka,Cold,6,2018,7,Summer
2020-04-07,Karnataka,Malaria,11,2020,4,Spring
2020-01-06,Telangana,Allergy,22,2020,1,Winter
2017-07-12,Andhra Pradesh,Allergy,30,2017,7,Summer
2022-01-08,Delhi,Headache,13,2022,1,Winter
2021-07-12,Andhra Pradesh,Cough,25,2021,7,Summer
2021-07-02,Delhi,Eye Infection,19,2021,7,Summer
2021-10-15,Delhi,Malaria,8,2021,10,Autumn
2018-07-21,Delhi,Fever,20,2018,7,Summer
2017-01-10,Delhi,Headache,13,2017,1,Winter
2024-10-08,Telangana,Malaria,8,2024,10,Autumn
2019-01-04,Delhi,Diarrhea,21,2019,1,Winter
2016-01-01,Karnataka,Skin Rash,21,2016,1,Winter
2019-07-18,Delhi,Headache,12,2019,7,Summer
2023-04-01,Telangana,Eye Infection,17,2023,4,Spring
2019-10-23,Delhi,Skin Rash,21,2019,10,Autumn
2017-07-20,Telangana,Eye Infection,22,2017,7,Summer
2020-01-19,Andhra Pradesh,Headache,30,2020,1,Winter
2024-01-08,Delhi,Headache,15,2024,1,Winter
2021-07-17,Telangana,Headache,28,2021,7,Summer
2019-04-20,Telangana,Cough,18,2019,4,Spring
2017-10-23,Delhi,Dengue,24,2017,10,Autumn
2017-07-09,Delhi,Eye Infection,28,2017,7,Summer
2017-10-03,Karnataka,Cough,11,2017,10,Autumn
2016-01-23,Telangana,Eye Infection,15,2016,1,Winter
2021-10-20,Delhi,Fever,17,2021,10,Autumn
2019-01-27,Karnataka,Diarrhea,6,2019,1,Winter
2018-07-19,Andhra Pradesh,Cold,25,2018,7,Summer
2021-04-24,Karnataka,Dengue,2,2021,4,Spring
2016-01-24,Telangana,Diarrhea,13,2016,1,Winter
2023-01-11,Andhra Pradesh,Cold,24,2023,1,Winter
2016-04-25,Andhra Pradesh,Diarrhea,10,2016,4,Spring
2023-07-16,Karnataka,Malaria,14,2023,7,Summer
2024-04-12,Telangana,Dengue,14,2024,4,Spring
2019-01-10,Andhra Pradesh,Skin Rash,19,2019,1,Winter
2020-01-25,Delhi,Eye Infection,22,2020,1,Winter
2020-04-23,Telangana,Cold,20,2020,4,Spring
2023-01-05,Andhra Pradesh,Headache,33,2023,1,Winter
2017-01-10,Delhi,Dengue,19,2017,1,Winter
2021-01-11,Telangana,Cold,30,2021,1,Winter
2020-01-03,Andhra Pradesh,Skin Rash,24,2020,1,Winter
2024-10-20,Karnataka,Diarrhea,7,2024,10,Autumn
2019-07-16,Delhi,Skin Rash,19,2019,7,Summer
2020-04-01,Delhi,Cough,30,2020,4,Spring
2023-01-08,Delhi,Cough,27,2023,1,Winter
2018-10-03,Karnataka,Fever,17,2018,10,Autumn
2016-10-18,Delhi,Eye Infection,18,2016,10,Autumn
2018-07-19,Telangana,Eye Infection,24,2018,7,Summer
2024-07-28,Andhra Pradesh,Cold,23,2024,7,Summer
2022-10-11,Karnataka,Eye Infection,5,2022,10,Autumn
2018-01-09,Karnataka,Headache,12,2018,1,Winter
2016-07-19,Karnataka,Skin Rash,23,2016,7,Summer
2024-04-09,Delhi,Cough,23,2024,4,Spring
2017-10-25,Karnataka,Allergy,24,2017,10,Autumn
2021-10-09,Telangana,Malaria,7,2021,10,Autumn
2019-10-11,Delhi,Skin Rash,18,2019,10,Autumn
2023-04-21,Telangana,Skin Rash,16,2023,4,Spring
2017-07-11,Andhra Pradesh,Headache,33,2017,7,Summer
2023-04-28,Karnataka,Diarrhea,4,2023,4,Spring
2023-04-17,Telangana,Headache,19,2023,4,Spring
2018-10-15,Andhra Pradesh,Allergy,26,2018,10,Autumn
2022-04-13,Delhi,Cold,14,2022,4,Spring
2017-07-01,Karnataka,Cold,11,2017,7,Summer
2022-04-22,Karnataka,Dengue,12,2022,4,Spring
2016-01-08,Telangana,Dengue,25,2016,1,Winter
2022-07-22,Karnataka,Malaria,7,2022,7,Summer
2021-04-17,Karnataka,Fever,18,2021,4,Spring
2017-10-27,Andhra Pradesh,Diarrhea,9,2017,10,Autumn
2023-04-05,Karnataka,Malaria,8,2023,4,Spring
2018-01-07,Karnataka,Allergy,34,2018,1,Winter
2017-07-20,Andhra Pradesh,Malaria,26,2017,7,Summer
2023-01-02,Delhi,Cough,30,2023,1,Winter
2019-04-02,Karnataka,Diarrhea,1,2019,4,Spring
2023-01-23,Karnataka,Diarrhea,1,2023,1,Winter
2024-07-25,Delhi,Skin Rash,21,2024,7,Summer
2020-10-28,Karnataka,Cold,13,2020,10,Autumn
2020-10-26,Telangana,Malaria,9,2020,10,Autumn
2023-04-12,Karnataka,Allergy,25,2023,4,Spring
2021-10-25,Andhra Pradesh,Dengue,21,2021,10,Autumn
2024-04-10,Telangana,Cold,23,2024,4,Spring
2022-01-10,Telangana,Fever,20,2022,1,Winter
2022-07-28,Telangana,Eye Infection,18,2022,7,Summer
2024-07-08,Telangana,Diarrhea,14,2024,7,Summer
2021-10-20,Delhi,Cough,29,2021,10,Autumn
2022-10-14,Telangana,Cold,32,2022,10,Autumn
2024-07-02,Andhra Pradesh,Headache,26,2024,7,Summer
2022-04-19,Telangana,Fever,15,2022,4,Spring
2024-07-24,Delhi,Headache,16,2024,7,Summer
2016-01-01,Andhra Pradesh,Skin Rash,30,2016,1,Winter
2020-01-15,Delhi,Fever,24,2020,1,Winter
2024-07-10,Telangana,Skin Rash,23,2024,7,Summer
2020-04-04,Telangana,Malaria,4,2020,4,Spring
2016-07-20,Delhi,Skin Rash,14,2016,7,Summer
2021-04-28,Telangana,Eye Infection,16,2021,4,Spring
2019-01-03,Telangana,Cold,27,2019,1,Winter
2017-01-20,Telangana,Cold,35,2017,1,Winter
2018-07-11,Delhi,Cold,9,2018,7,Summer
2022-07-06,Andhra Pradesh,Fever,20,2022,7,Summer
2016-01-12,Karnataka,Cold,13,2016,1,Winter
2016-07-12,Delhi,Fever,26,2016,7,Summer
2018-07-12,Delhi,Dengue,15,2018,7,Summer
2024-07-14,Telangana,Allergy,23,2024,7,Summer
2019-04-17,Andhra Pradesh,Skin Rash,19,2019,4,Spring
2020-07-04,Delhi,Cough,27,2020,7,Summer
2016-04-15,Andhra Pradesh,Allergy,31,2016,4,Spring
2018-07-02,Andhra Pradesh,Skin Rash,19,2018,7,Summer
2018-01-03,Delhi,Fever,19,2018,1,Winter
2021-04-27,Delhi,Dengue,13,2021,4,Spring
2021-10-20,Andhra Pradesh,Diarrhea,11,2021,10,Autumn
2024-01-24,Karnataka,Fever,22,2024,1,Winter
2016-10-04,Delhi,Diarrhea,11,2016,10,Autumn
2016-04-06,Delhi,Diarrhea,7,2016,4,Spring
2020-01-17,Delhi,Malaria,12,2020,1,Winter
2024-04-20,Telangana,Eye Infection,17,2024,4,Spring
2020-10-27,Andhra Pradesh,Fever,24,2020,10,Autumn
2021-01-11,Andhra Pradesh,Fever,21,2021,1,Winter
2017-10-23,Karnataka,Diarrhea,0,2017,10,Autumn
2021-04-06,Karnataka,Dengue,12,2021,4,Spring
2021-01-11,Delhi,Fever,22,2021,1,Winter
2016-04-20,Delhi,Allergy,14,2016,4,Spring
2020-01-10,Telangana,Diarrhea,11,2020,1,Winter
2018-04-16,Andhra Pradesh,Diarrhea,11,2018,4,Spring
2020-07-11,Andhra Pradesh,Diarrhea,10,2020,7,Summer
2020-04-28,Telangana,Malaria,3,2020,4,Spring
2019-01-11,Delhi,Skin Rash,17,2019,1,Winter
2023-04-19,Karnataka,Dengue,4,2023,4,Spring
2019-07-01,Karnataka,Eye Infection,19,2019,7,Summer
2023-10-15,Telangana,Malaria,8,2023,10,Autumn
2023-10-23,Andhra Pradesh,Allergy,29,2023,10,Autumn
2018-10-09,Telangana,Allergy,19,2018,10,Autumn
2020-07-01,Karnataka,Malaria,14,2020,7,Summer
2022-10-04,Telangana,Diarrhea,6,2022,10,Autumn
2023-01-21,Karnataka,Eye Infection,15,2023,1,Winter
2022-04-23,Andhra Pradesh,Allergy,28,2022,4,Spring
2017-04-08,Delhi,Fever,16,2017,4,Spring
2024-07-22,Karnataka,Fever,18,2024,7,Summer
2018-01-14,Andhra Pradesh,Fever,22,2018,1,Winter
2022-04-24,Delhi,Malaria,7,2022,4,Spring
2016-10-06,Delhi,Fever,16,2016,10,Autumn
2024-10-08,Delhi,Fever,21,2024,10,Autumn
2023-04-23,Telangana,Dengue,20,2023,4,Spring
2021-04-09,Delhi,Eye Infection,19,2021,4,Spring
2019-01-07,Delhi,Headache,9,2019,1,Winter
2020-07-02,Andhra Pradesh,Diarrhea,8,2020,7,Summer
2019-10-09,Karnataka,Cold,2,2019,10,Autumn
2019-01-07,Delhi,Headache,17,2019,1,Winter
2017-01-24,Telangana,Allergy,26,2017,1,Winter
2024-01-27,Karnataka,Diarrhea,12,2024,1,Winter
2023-07-01,Delhi,Fever,17,2023,7,Summer
2023-04-17,Karnataka,Dengue,11,2023,4,Spring
2018-07-21,Karnataka,Diarrhea,9,2018,7,Summer
2020-04-26,Andhra Pradesh,Eye Infection,16,2020,4,Spring
2024-04-21,Telangana,Eye Infection,14,2024,4,Spring
2017-04-12,Andhra Pradesh,Cold,17,2017,4,Spring
2021-01-20,Telangana,Allergy,26,2021,1,Winter
2016-07-02,Delhi,Allergy,20,2016,7,Summer
2024-01-08,Delhi,Skin Rash,16,2024,1,Winter
2017-10-22,Karnataka,Dengue,8,2017,10,Autumn
2022-01-20,Telangana,Headache,30,2022,1,Winter
2016-01-13,Andhra Pradesh,Eye Infection,24,2016,1,Winter
2018-01-16,Telangana,Diarrhea,8,2018,1,Winter
2018-07-10,Karnataka,Malaria,17,2018,7,Summer
2020-01-23,Karnataka,Dengue,7,2020,1,Winter
2024-07-24,Andhra Pradesh,Fever,23,2024,7,Summer
2016-10-24,Delhi,Allergy,26,2016,10,Autumn
2024-04-09,Telangana,Eye Infection,17,2024,4,Spring
2023-10-10,Telangana,Dengue,20,2023,10,Autumn
2023-07-24,Karnataka,Headache,13,2023,7,Summer
2017-04-05,Karnataka,Headache,5,2017,4,Spring
2023-10-10,Delhi,Allergy,21,2023,10,Autumn
2020-04-24,Andhra Pradesh,Fever,18,2020,4,Spring
2020-07-14,Delhi,Skin Rash,11,2020,7,Summer
2020-04-07,Karnataka,Cold,10,2020,4,Spring
2022-07-27,Delhi,Dengue,18,2022,7,Summer
2018-01-16,Delhi,Eye Infection,21,2018,1,Winter
2019-07-19,Karnataka,Allergy,35,2019,7,Summer
2019-07-01,Andhra Pradesh,Fever,23,2019,7,Summer
2019-10-14,Karnataka,Malaria,8,2019,10,Autumn
2022-10-24,Andhra Pradesh,Dengue,20,2022,10,Autumn
2016-01-04,Andhra Pradesh,Eye Infection,20,2016,1,Winter
2017-04-01,Telangana,Headache,15,2017,4,Spring
2017-07-05,Andhra Pradesh,Dengue,27,2017,7,Summer
2023-04-13,Karnataka,Dengue,8,2023,4,Spring
2024-07-16,Telangana,Skin Rash,18,2024,7,Summer
2023-07-15,Karnataka,Cold,4,2023,7,Summer
2018-04-07,Karnataka,Headache,8,2018,4,Spring
2016-07-02,Karnataka,Cold,11,2016,7,Summer
2021-10-15,Delhi,Cough,23,2021,10,Autumn
2018-10-19,Delhi,Malaria,9,2018,10,Autumn
2016-04-07,Karnataka,Allergy,32,2016,4,Spring
2019-07-15,Andhra Pradesh,Eye Infection,23,2019,7,Summer
2019-04-22,Delhi,Malaria,8,2019,4,Spring
2016-10-12,Delhi,Dengue,15,2016,10,Autumn
2023-10-12,Delhi,Eye Infection,22,2023,10,Autumn
2019-07-05,Delhi,Headache,12,2019,7,Summer
2021-01-04,Delhi,Cold,14,2021,1,Winter
2020-01-13,Telangana,Fever,21,2020,1,Winter
2021-01-20,Telangana,Headache,24,2021,1,Winter
2021-10-27,Andhra Pradesh,Skin Rash,21,2021,10,Autumn
2016-10-18,Karnataka,Fever,15,2016,10,Autumn
2022-04-17,Andhra Pradesh,Cough,27,2022,4,Spring
2017-04-04,Delhi,Headache,9,2017,4,Spring
2017-04-15,Andhra Pradesh,Dengue,23,2017,4,Spring
2016-10-08,Delhi,Eye Infection,21,2016,10,Autumn
2021-07-20,Karnataka,Diarrhea,5,2021,7,Summer
2016-04-22,Telangana,Diarrhea,11,2016,4,Spring
2024-07-10,Andhra Pradesh,Skin Rash,16,2024,7,Summer
2016-10-23,Delhi,Cold,14,2016,10,Autumn
2017-10-01,Andhra Pradesh,Malaria,21,2017,10,Autumn
2020-10-03,Karnataka,Allergy,30,2020,10,Autumn
2020-04-04,Delhi,Malaria,6,2020,4,Spring
2022-07-21,Karnataka,Cough,7,2022,7,Summer
2023-04-23,Telangana,Allergy,22,2023,4,Spring
2021-07-03,Telangana,Fever,16,2021,7,Summer
2023-10-22,Karnataka,Diarrhea,5,2023,10,Autumn
2020-10-18,Andhra Pradesh,Dengue,21,2020,10,Autumn
2023-10-07,Karnataka,Allergy,29,2023,10,Autumn
2018-01-05,Telangana,Fever,25,2018,1,Winter
2019-10-01,Telangana,Diarrhea,10,2019,10,Autumn
2019-01-23,Telangana,Eye Infection,22,2019,1,Winter
2023-04-22,Telangana,Cough,12,2023,4,Spring
2024-01-26,Delhi,Malaria,17,2024,1,Winter
2019-10-17,Delhi,Cold,17,2019,10,Autumn
2021-10-28,Telangana,Cold,25,2021,10,Autumn
2023-01-07,Delhi,Eye Infection,24,2023,1,Winter
2017-04-22,Delhi,Allergy,21,2017,4,Spring
2020-04-11,Andhra Pradesh,Allergy,27,2020,4,Spring
2017-10-18,Delhi,Dengue,17,2017,10,Autumn
2017-01-26,Karnataka,Headache,3,2017,1,Winter
2023-04-08,Andhra Pradesh,Cold,14,2023,4,Spring
2017-04-17,Karnataka,Dengue,10,2017,4,Spring
2023-10-15,Delhi,Fever,18,2023,10,Autumn
2019-01-25,Telangana,Eye Infection,19,2019,1,Winter
2021-07-10,Delhi,Eye Infection,21,2021,7,Summer
2022-07-27,Andhra Pradesh,Diarrhea,7,2022,7,Summer
2017-04-26,Andhra Pradesh,Headache,26,2017,4,Spring
2021-07-24,Andhra Pradesh,Eye Infection,23,2021,7,Summer
2017-10-09,Delhi,Dengue,18,2017,10,Autumn
2024-10-04,Karnataka,Skin Rash,16,2024,10,Autumn
2017-01-18,Andhra Pradesh,Cough,31,2017,1,Winter
2024-04-23,Delhi,Headache,9,2024,4,Spring
2017-01-22,Delhi,Cold,17,2017,1,Winter
2024-07-03,Telangana,Cough,11,2024,7,Summer
2023-04-09,Andhra Pradesh,Dengue,20,2023,4,Spring
2021-04-20,Karnataka,Skin Rash,16,2021,4,Spring
2021-07-09,Telangana,Cold,31,2021,7,Summer
2016-10-18,Andhra Pradesh,Cold,21,2016,10,Autumn
2024-10-13,Andhra Pradesh,Diarrhea,10,2024,10,Autumn
2018-10-01,Andhra Pradesh,Malaria,25,2018,10,Autumn
2016-10-05,Telangana,Dengue,22,2016,10,Autumn
2017-10-28,Telangana,Dengue,27,2017,10,Autumn
2020-04-24,Delhi,Cough,20,2020,4,Spring
2016-10-13,Andhra Pradesh,Skin Rash,19,2016,10,Autumn
2017-01-21,Telangana,Skin Rash,18,2017,1,Winter
2019-07-20,Telangana,Headache,15,2019,7,Summer
